n,d,k,queries,impl,build_time_s,query_time_s,latency_ms,qps,cpu_s,rss_mb
10000,8,10,2000,PCCT,1.3551,0.0165,0.0082,121503.7,0.2612,0.33
10000,8,10,2000,scipy_ckdtree,0.0017,0.0366,0.0183,54680.7,0.0366,0.11
10000,8,10,2000,sklearn_balltree,0.0026,0.0727,0.0364,27492.1,0.0728,0.0
10000,8,50,2000,PCCT,1.3572,0.0277,0.0139,72166.3,0.482,0.37
10000,8,50,2000,scipy_ckdtree,0.0018,0.0751,0.0376,26621.7,0.0748,0.11
10000,8,50,2000,sklearn_balltree,0.0027,0.0952,0.0476,21019.0,0.0949,0.04
50000,8,10,2000,PCCT,27.1432,0.0575,0.0287,34785.7,0.5966,0.37
50000,8,10,2000,scipy_ckdtree,0.0091,0.0649,0.0324,30833.0,0.0648,0.18
50000,8,10,2000,sklearn_balltree,0.0163,0.3445,0.1722,5806.2,0.3434,0.04
50000,8,50,2000,PCCT,26.4254,0.0829,0.0415,24116.0,1.1272,0.47
50000,8,50,2000,scipy_ckdtree,0.009,0.135,0.0675,14819.3,0.1346,0.07
50000,8,50,2000,sklearn_balltree,0.0167,0.416,0.208,4807.6,0.4147,0.0
100000,8,10,2000,PCCT,107.3453,0.1086,0.0543,18409.6,0.921,0.2
100000,8,10,2000,scipy_ckdtree,0.0193,0.082,0.041,24388.1,0.0818,0.11
100000,8,10,2000,sklearn_balltree,0.0374,0.6445,0.3222,3103.2,0.6417,0.03
100000,8,50,2000,PCCT,108.2372,0.1447,0.0724,13818.1,1.8082,0.23
100000,8,50,2000,scipy_ckdtree,0.0197,0.2002,0.1001,9991.1,0.1994,0.11
100000,8,50,2000,sklearn_balltree,0.0367,0.765,0.3825,2614.5,0.7612,0.04
200000,8,10,2000,PCCT,645.6033,0.2416,0.1208,8278.7,2.6087,0.35
200000,8,10,2000,scipy_ckdtree,0.048,0.3242,0.1621,6168.9,0.3228,0.18
200000,8,10,2000,sklearn_balltree,0.2152,2.8077,1.4038,712.3,2.7887,0.0
200000,8,50,2000,PCCT,599.8964,0.3141,0.157,6368.1,4.3301,0.35
200000,8,50,2000,scipy_ckdtree,0.0475,0.6982,0.3491,2864.5,0.6929,0.19
200000,8,50,2000,sklearn_balltree,0.0831,1.558,0.779,1283.7,1.5526,0.02
10000,64,10,2000,PCCT,1.0319,0.0294,0.0147,68119.2,0.5249,0.38
10000,64,10,2000,scipy_ckdtree,0.003,0.5932,0.2966,3371.5,0.5903,0.11
10000,64,10,2000,sklearn_balltree,0.013,0.4193,0.2096,4770.2,0.4175,0.04
10000,64,50,2000,PCCT,1.0125,0.053,0.0265,37727.0,1.0943,0.3
10000,64,50,2000,scipy_ckdtree,0.003,0.6079,0.304,3289.9,0.606,0.18
10000,64,50,2000,sklearn_balltree,0.0142,0.4259,0.2129,4696.1,0.4233,0.0
50000,64,10,2000,PCCT,8.0075,0.0991,0.0495,20188.4,1.4719,0.36
50000,64,10,2000,scipy_ckdtree,0.025,12.466,6.233,160.4,12.4089,0.19
50000,64,10,2000,sklearn_balltree,0.1145,5.6985,2.8492,351.0,5.6717,0.03
50000,64,50,2000,PCCT,7.9366,0.1983,0.0991,10086.5,3.7558,0.5
50000,64,50,2000,scipy_ckdtree,0.03,11.456,5.728,174.6,11.3958,0.18
50000,64,50,2000,sklearn_balltree,0.1431,6.2577,3.1288,319.6,6.2215,0.0
100000,64,10,2000,PCCT,19.8367,0.3262,0.1631,6130.4,6.1565,0.16
100000,64,10,2000,scipy_ckdtree,0.0883,37.7605,18.8802,53.0,37.4536,0.11
100000,64,10,2000,sklearn_balltree,0.3389,27.1309,13.5655,73.7,26.9565,0.08
100000,64,50,2000,PCCT,20.448,0.9944,0.4972,2011.3,14.5492,0.26
100000,64,50,2000,scipy_ckdtree,0.0927,40.9409,20.4704,48.9,40.5261,0.18
100000,64,50,2000,sklearn_balltree,0.44,27.566,13.783,72.6,27.3922,0.04
200000,64,10,2000,PCCT,77.9604,0.8827,0.4414,2265.7,14.4255,0.32
200000,64,10,2000,scipy_ckdtree,0.2352,92.3295,46.1647,21.7,91.8059,5.47
200000,64,10,2000,sklearn_balltree,1.2561,62.5708,31.2854,32.0,62.2495,0.08
200000,64,50,2000,PCCT,66.7896,1.5626,0.7813,1280.0,30.6851,0.35
200000,64,50,2000,scipy_ckdtree,0.2828,80.2322,40.1161,24.9,79.8332,7.74
200000,64,50,2000,sklearn_balltree,1.3092,67.572,33.786,29.6,67.1358,0.0
